,time,MISO,MOSI
267,13.21340864,0xff,0x00
268,13.21341024,0xff,0x85
269,13.21341184,0xff,0x00
270,13.21341344,0xff,0x00
271,13.21341504,0xff,0x00
272,13.21341664,0xff,0xff
273,13.21341824,0xff,0xff
274,13.21341984,0xff,0xff
275,13.21342144,0xff,0x0f
276,13.21342304,0xff,0xff
277,13.21342464,0xff,0xff
278,13.21342624,0xff,0xff
279,13.21342784,0xff,0x0f
280,13.21342944,0xff,0xff
281,13.21343104,0xff,0xff
282,13.21343264,0xff,0xff
283,13.21343424,0xff,0x0f
284,13.21343584,0xff,0xff
285,13.21343744,0xff,0xff
286,13.21343904,0xff,0xff
287,13.21344064,0xff,0x0f
288,13.21344224,0xff,0xff
289,13.21344384,0xff,0xff
290,13.21344544,0xff,0xff
291,13.21344704,0xff,0x0f
292,13.21344864,0xff,0xff
293,13.21345024,0xff,0xff
294,13.21345184,0xff,0xff
295,13.21345344,0xff,0x0f
296,13.21345504,0xff,0xff
297,13.21345664,0xff,0xff
298,13.21345824,0xff,0xff
299,13.21345984,0xff,0x0f
300,13.21346144,0xff,0x00
301,13.21346304,0xff,0x00
302,13.21346464,0xff,0x00
303,13.21346624,0xff,0x00
304,13.21346784,0xff,0x00
305,13.21346944,0xff,0x00
306,13.21347104,0xff,0x00
307,13.21347264,0xff,0x00
308,13.21347424,0xff,0xff
309,13.21347584,0xff,0xff
310,13.21347744,0xff,0xff
311,13.21347904,0xff,0x0f
312,13.21348064,0xff,0xff
313,13.21348224,0xff,0xff
314,13.21348384,0xff,0xff
315,13.21348544,0xff,0x0f
316,13.21348704,0xff,0x00
317,13.21348864,0xff,0x00
318,13.21349024,0xff,0x00
319,13.21349184,0xff,0x00
320,13.21349344,0xff,0x00
321,13.21349504,0xff,0x00
322,13.21349664,0xff,0x00
323,13.21349824,0xff,0x00
324,13.21349984,0xff,0x00
325,13.21350144,0xff,0x00
326,13.21350304,0xff,0x00
327,13.21350464,0xff,0x00
328,13.21350624,0xff,0x00
329,13.21350784,0xff,0x00
330,13.21350944,0xff,0x00
331,13.21351104,0xff,0x00
332,13.21351264,0xff,0x00
333,13.21351424,0xff,0x00
334,13.21351584,0xff,0x00
335,13.21351744,0xff,0x00
336,13.21351904,0xff,0x00
337,13.21352064,0xff,0x00
338,13.21352224,0xff,0x00
339,13.21352384,0xff,0x00
340,13.21352544,0xff,0x00
341,13.21352704,0xff,0x00
342,13.21352864,0xff,0x00
343,13.21353024,0xff,0x00
344,13.21353184,0xff,0x00
345,13.21353344,0xff,0x00
346,13.21353504,0xff,0x00
347,13.21353664,0xff,0x00
348,13.21353824,0xff,0x00
349,13.21353984,0xff,0x00
350,13.21354144,0xff,0x00
351,13.21354304,0xff,0x00
352,13.21354464,0xff,0x00
353,13.21354624,0xff,0x00
354,13.21354784,0xff,0x00
355,13.21354944,0xff,0x00
356,13.21355104,0xff,0x00
357,13.21355264,0xff,0x00
358,13.21355424,0xff,0x00
359,13.21355584,0xff,0x00
360,13.21355744,0xff,0x00
361,13.21355904,0xff,0x00
362,13.21356064,0xff,0x00
363,13.21356224,0xff,0x00
364,13.21356384,0xff,0x00
365,13.21356544,0xff,0x00
366,13.21356704,0xff,0x00
367,13.21356864,0xff,0x00
368,13.21357024,0xff,0x00
369,13.21357184,0xff,0x00
370,13.21357344,0xff,0x00
371,13.21357504,0xff,0x00
372,13.21357664,0xff,0x00
373,13.21357824,0xff,0x00
374,13.21357984,0xff,0x00
375,13.21358144,0xff,0x00
376,13.21358304,0xff,0x00
377,13.21358464,0xff,0x00
378,13.21358624,0xff,0x00
379,13.21358784,0xff,0x00
380,13.21358944,0xff,0x00
381,13.21359104,0xff,0x00
382,13.21359264,0xff,0x00
383,13.21359424,0xff,0x00
384,13.21359584,0xff,0x00
385,13.21359744,0xff,0x00
386,13.21359904,0xff,0x00
387,13.21360064,0xff,0x00
388,13.21360224,0xff,0x00
389,13.21360384,0xff,0x00
390,13.21360544,0xff,0x00
391,13.21360704,0xff,0x00
392,13.21360864,0xff,0x00
393,13.21361024,0xff,0x00
394,13.21361184,0xff,0x00
395,13.21361344,0xff,0x00
396,13.21361504,0xff,0x00
397,13.21361664,0xff,0x00
398,13.21361824,0xff,0x00
399,13.21361984,0xff,0x00
400,13.21362144,0xff,0x00
401,13.21362304,0xff,0x00
402,13.21362464,0xff,0x00
403,13.21362624,0xff,0x00
404,13.21362784,0xff,0x00
405,13.21362944,0xff,0x00
406,13.21363104,0xff,0x00
407,13.21363264,0xff,0x00
408,13.21363424,0xff,0x00
409,13.21363584,0xff,0x00
410,13.21363744,0xff,0x00
411,13.21363904,0xff,0x00
412,13.21364064,0xff,0x00
413,13.21364224,0xff,0x00
414,13.21364384,0xff,0x00
415,13.21364544,0xff,0x00
416,13.21364704,0xff,0x00
417,13.21364864,0xff,0x00
418,13.21365024,0xff,0x00
419,13.21365184,0xff,0x00
420,13.21365344,0xff,0x00
421,13.21365504,0xff,0x00
422,13.21365664,0xff,0x00
423,13.21365824,0xff,0x00
424,13.21365984,0xff,0x00
425,13.21366144,0xff,0x00
426,13.21366304,0xff,0x00
427,13.21366464,0xff,0x00
428,13.21366624,0xff,0x00
429,13.21366784,0xff,0x00
430,13.21366944,0xff,0x00
431,13.21367104,0xff,0x00
432,13.21367264,0xff,0x00
433,13.21367424,0xff,0x00
434,13.21367584,0xff,0x00
435,13.21367744,0xff,0x00
436,13.21367904,0xff,0x00
437,13.21368064,0xff,0x00
438,13.21368224,0xff,0x00
439,13.21368384,0xff,0x00
440,13.21368544,0xff,0x00
441,13.21368704,0xff,0x00
442,13.21368864,0xff,0x00
443,13.21369024,0xff,0x00
444,13.21369184,0xff,0x00
445,13.21369344,0xff,0x00
446,13.21369504,0xff,0x00
447,13.21369664,0xff,0x00
448,13.21369824,0xff,0x00
449,13.21369984,0xff,0x00
450,13.21370144,0xff,0x00
